统计周期,工厂ID,公司名称,所在地区,主营工艺,会员类型,主要使用角色,本周是否新增使用,本周是否回流,本周使用天数,本周会话次数,本周用户提问数,本周上传图纸数,本周主要使用场景,本周是否提出新需求,新需求摘要,本周是否出现问题,问题摘要,当前主分层,特殊价值标签,分层原因,下一步动作
2026-07-20 至 2026-07-26,2659118,上海勤崇机械科技股份有限公司,上海,机加工、钣金、冲压、装配,付费会员,经理/主管,否,否,6,46,195,111,成本报价,是,技术要求：需求描述：316材质 技术要求：表面光滑无毛刺 给我报价；需求描述： 材料：紫铜，报价需注明厂家 厚度5mm 数量：起订量：300pcs 1800pcs/年 完全符合图纸要求 报价 [零件文件预处理上下文] 零件文件1：D2398_EA250143_059352.pdf,是,"分别用6、8、10三种厚度，Q235B和Q355B两种材质，长度统一按10米 你看看能不能做？中间的那个加强筋你们有没有能力焊接？ [零件文件预处理上下文] 零件文件1：3bus224089-007_加水印(1).pdf 预处理结果：{""status"":""success"",""fi",高价值/高活跃,高频提问、图纸大户、成本报价、有新需求、需问题跟进,本周使用6天，46次会话，提问195条，上传图纸111个,优先排查问题并回访
2026-07-20 至 2026-07-26,2230323,惠州市源文钰精密部件有限公司,惠州市,机加工、钣金、快速原型,付费会员,经理/主管,否,否,6,82,136,168,成本报价,是,"能不能提供两套图纸的全部材料。；提供一份图纸，需求数量在图纸右下角，请提供专业报价 [零件文件预处理上下文] 零件文件1：P26-01006-draaien-serie.pdf 预处理结果：{""status"":""success"",""fileId"":""05494b2c"",""file",是,"分析该图纸，材质：6061铝，尺寸M2_22.5mm_4cav；数量：1件，提供重量。 [零件文件预处理上下文] 零件文件1：lower_mold_half.stl 预处理结果：{""status"":""success"",""fileId"":""b0900c49"",""fileName"":",高价值/高活跃,高频提问、图纸大户、成本报价、有新需求、需问题跟进,本周使用6天，82次会话，提问136条，上传图纸168个,优先排查问题并回访
2026-07-20 至 2026-07-26,1746696,东莞市锐金精密五金制品有限公司/锐金精密科技（湖北）股份有限公司/上海悦金科技有限公司,东莞市,五轴加工、CNC铣削或铣削加工、车削、走心机/自动车、其它、车铣复合、机加工、四轴_镗铣床、龙门加工、电火花加工、齿轮成型、专机整形加工、铸造、钣金、锻造、冲压、快速原型,付费会员,经理/主管,否,否,6,59,105,90,成本报价,是,CNC铣削或铣削加工 热塑性塑料 1 件，欧元报价 [补充要求] 它是2400x580x100milimiters。 材料必须是带有纤维的聚苯乙烯，而不是空气。(XPS或DOW)，黑色。我想要一份制造报价，其中包括运往佩雷乌斯港的运费。；客户建议采用铣削或铸造工艺,是,3D打印塑料类产品，数量50套、200套、500套。材质:环保/再生热塑性塑料。优先选用再生聚丙烯;再生高密度聚乙烯(HDPE)或再生聚对苯二甲酸乙二醇酯(PET)/PETG也可接受;原生食品级聚丙烯仅在被再生材料无法满足要求时方可接受。需含有再生成分(优先 采用GRS认证)。请,高价值/高活跃,高频提问、图纸大户、成本报价、有新需求、需问题跟进,本周使用6天，59次会话，提问105条，上传图纸90个,优先排查问题并回访
2026-07-20 至 2026-07-26,2608000,宁波联旭机械有限公司,宁波,铸造、机加工、装配、锻造,付费会员,销售/业务,否,否,6,77,96,202,成本报价,是,两款产品压铸，各1000件，需要多少吨的压机，毛坯各需要多少种，后续机加需要多长时间，解读图纸中零件的设计思路和大概成品和材料重量，指出图纸中零件的应用场景是什么（图纸特征提取如孔数量/孔径/深度/公差等级/面数/外形复杂度）？分析图纸中零件运用到了哪些工艺？（工艺分析中请指出加,否,,高价值/高活跃,高频提问、图纸大户、成本报价、有新需求,本周使用6天，77次会话，提问96条，上传图纸202个,记录需求并产品评估
2026-07-20 至 2026-07-26,2425043,南通爱唯尔机电制造有限公司,海安市,机加工、钣金,付费会员,经理/主管,否,否,4,5,74,145,成本报价,否,,否,,高价值/高活跃,高频提问、图纸大户、成本报价,本周使用4天，5次会话，提问74条，上传图纸145个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2125940,东莞市钜亮五金科技有限公司,东莞市,机加工、钣金、冲压,免费/非会员,未填写,否,否,6,26,72,94,成本报价,否,,否,,高价值/高活跃,高频提问、图纸大户、成本报价,本周使用6天，26次会话，提问72条，上传图纸94个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2511957,广州市铭阳五金制造有限公司,广州市,钣金、冲压,付费会员,经理/主管,否,否,6,27,52,59,成本报价,否,,是,"按报价单报价 ，不锈钢 304， [零件文件预处理上下文] 零件文件1：YF.3.BJ.PJ.10009-震板-1500W-28k(解密).STEP 预处理结果：{""status"":""success"",""fileId"":""814da06c"",""fileName"":""haizol-",高价值/高活跃,高频提问、图纸大户、成本报价、需问题跟进,本周使用6天，27次会话，提问52条，上传图纸59个,优先排查问题并回访
2026-07-20 至 2026-07-26,2750627,温州市麦拓科汽车零部件有限公司,,机加工、锻造、立式车削、线切割、车削、外圆磨、车铣复合、五轴加工、模锻、齿轮成型、CNC铣削或铣削加工、墩锻、走心机/自动车、紧固件&五金件,付费会员,经理/主管,否,否,7,20,50,45,成本报价,否,,否,,高价值/高活跃,高频提问、图纸大户、成本报价,本周使用7天，20次会话，提问50条，上传图纸45个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,1927061,江苏德律根电气有限公司,扬州,钣金、冲压、表面处理、机加工,付费会员,经理/主管,否,否,5,9,49,46,成本报价,否,,否,,高价值/高活跃,高频提问、图纸大户、成本报价,本周使用5天，9次会话，提问49条，上传图纸46个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2235761,幸元电气（苏州）有限公司/上海垚洪机电科技有限公司,苏州,钣金,付费会员,经理/主管,否,否,4,14,48,62,成本报价,是,要给每一项的材料费，下料，折弯，焊接，打磨抛光，打包，运费，管理费，利润，哪些价格低的要给我建议价格,否,,高价值/高活跃,高频提问、图纸大户、成本报价、有新需求,本周使用4天，14次会话，提问48条，上传图纸62个,记录需求并产品评估
2026-07-20 至 2026-07-26,1658595,余姚市和盛机械有限公司,余姚市,冲压、钣金、机加工,付费会员,经理/主管,否,否,5,9,45,16,成本报价,否,,否,,高价值/高活跃,高频提问、图纸大户、成本报价,本周使用5天，9次会话，提问45条，上传图纸16个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2797330,杭州骉昇科技有限公司,杭州,机加工、表面处理,付费会员,销售/业务,否,否,5,9,44,32,成本报价,否,,否,,高价值/高活跃,高频提问、图纸大户、成本报价,本周使用5天，9次会话，提问44条，上传图纸32个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2956492,东莞市峥华科技有限公司,东莞市,机加工、钣金,付费会员,经理/主管,否,否,5,18,41,40,成本报价,否,,是,"分析图纸 [零件文件预处理上下文] 零件文件1：updated.stl 预处理结果：{""status"":""success"",""fileId"":""ce77ca59"",""fileName"":""haizol-part-1436906921819733260.stl"",""fileForm",高价值/高活跃,高频提问、图纸大户、成本报价、需问题跟进,本周使用5天，18次会话，提问41条，上传图纸40个,优先排查问题并回访
2026-07-20 至 2026-07-26,1651664,宁波兴轮机械有限公司,宁波,机加工、钣金、冲压,付费会员,经理/主管,否,否,3,32,38,46,成本报价,是,"请提供价格建议；技术要求：材料: 陶瓷或类似材料 无塑料 陶瓷类 100 件 500 件 1,000 件 买家须知：组件1-底座 外形尺寸 • 长度：214毫米 • 宽度：144毫米 • 高度：40毫米 内部空腔 • 长度：204毫米 • 宽度：134毫米 • 深度：35毫米 壁",是,"CNC铣削或铣削加工 铝类 1 件 [零件文件预处理上下文] 零件文件1：piez.stl 预处理结果：{""status"":""success"",""fileId"":""ef443e77"",""fileName"":""haizol-part-8792696173317193803.stl""",高价值/高活跃,高频提问、图纸大户、成本报价、有新需求、需问题跟进,本周使用3天，32次会话，提问38条，上传图纸46个,优先排查问题并回访
2026-07-20 至 2026-07-26,2867638,扬州朗腾机械设备有限公司,扬州,钣金、机加工,付费会员,经理/主管,否,否,5,8,38,46,成本报价,是,就是我后续可不可可不可以跟客户说，要达到那个，因为我的第二报价就是一百件的报价是二十九块五还是二十九二十九块的，呃，要达到这个价那个价格目标，它的量产那个量产数量必须要达到五千五千个五千件才能达到这种量级，我可不可以这么说？；请结合以下零件文件预处理结果，分析图纸特征、工艺路径、,否,,高价值/高活跃,高频提问、图纸大户、成本报价、有新需求,本周使用5天，8次会话，提问38条，上传图纸46个,记录需求并产品评估
2026-07-20 至 2026-07-26,3044625,上海杰光精密模具制造有限公司,上海,机加工,付费会员,经理/主管,否,否,3,19,37,14,成本报价,是,技术要求：需求描述： 定子铁芯 0905/L16 数量各2个 1205数量6各 技术要求： 不开模激光 / 线切割打样,是,中丝单价不对，重新核算,活跃用户,高频提问、图纸大户、成本报价、有新需求、需问题跟进,本周使用3天，19次会话，提问37条，上传图纸14个,优先排查问题并回访
2026-07-20 至 2026-07-26,2653103,宁波盛威智能安防科技有限公司,宁波,钣金、机加工、粉末冶金、紧固件&五金件、冲压,付费会员,经理/主管,否,否,5,18,36,45,成本报价,否,,否,,高价值/高活跃,高频提问、图纸大户、成本报价,本周使用5天，18次会话，提问36条，上传图纸45个,重点维护，沉淀案例
2026-07-20 至 2026-07-26,2195864,宁波埃科瑞特机械有限公司,宁波,机加工、铸造、塑胶成型、粉末冶金、泵 阀 接头,付费会员,销售/业务,是,否,5,15,35,27,成本报价,是,报价建议呢,否,,高价值/高活跃,新使用、高频提问、图纸大户、成本报价、有新需求,本周使用5天，15次会话，提问35条，上传图纸27个,记录需求并产品评估
2026-07-20 至 2026-07-26,2193043,东莞市永开泰五金制品有限公司,东莞市,机加工、铸造,付费会员,未填写,否,否,5,2,32,58,成本报价,否,,是,"报价，5件，PMMA材料，cnc加工。 [零件文件预处理上下文] 零件文件1：PKD+1390+DA.STL 预处理结果：{""status"":""success"",""fileId"":""7eb07af9"",""fileName"":""haizol-part-165950905943457",高价值/高活跃,高频提问、图纸大户、成本报价、需问题跟进,本周使用5天，2次会话，提问32条，上传图纸58个,优先排查问题并回访
